Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'screwdriver_small')], Total Error: 1.6780, Shape Error: 0.3736, Size Error: 0.8906, Ratio Error: 0.8277
Matches: [('hammer_handle', 'screwdriver_large'), ('hammer_head', 'plastic_clip')], Total Error: 1.6782, Shape Error: 0.4180, Size Error: 0.7555, Ratio Error: 1.0095
Matches: [('hammer_handle', 'screwdriver_large'), ('hammer_head', 'plastic_handle')], Total Error: 1.6795, Shape Error: 0.7412, Size Error: 0.6885, Ratio Error: 0.4996
Matches: [('hammer_handle', 'screwdriver_large'), ('hammer_head', 'tuna_can')], Total Error: 1.6813, Shape Error: 0.3808, Size Error: 0.7103, Ratio Error: 1.1805
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'red_cylinder_magnetic')], Total Error: 1.6819, Shape Error: 0.4707, Size Error: 0.7534, Ratio Error: 0.9155
Matches: [('hammer_handle', 'plastic_clip'), ('hammer_head', 'fries')], Total Error: 1.6830, Shape Error: 0.1636, Size Error: 0.8488, Ratio Error: 1.3413
Matches: [('hammer_handle', 'screwdriver_small'), ('hammer_head', 'fries')], Total Error: 1.6839, Shape Error: 0.3525, Size Error: 0.7853, Ratio Error: 1.0921
Matches: [('hammer_handle', 'gelatin_box'), ('hammer_head', 'purple_foam')], Total Error: 1.6886, Shape Error: 0.3454, Size Error: 0.8181, Ratio Error: 1.0500
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'screwdriver_large')], Total Error: 1.6945, Shape Error: 0.5282, Size Error: 0.7767, Ratio Error: 0.7791
Matches: [('hammer_handle', 'gelatin_box'), ('hammer_head', 'plastic_claw')], Total Error: 1.6962, Shape Error: 0.0968, Size Error: 0.9456, Ratio Error: 1.3077
Matches: [('hammer_handle', 'fries'), ('hammer_head', 'gelatin_box')], Total Error: 1.7079, Shape Error: 0.2066, Size Error: 0.8220, Ratio Error: 1.3586
Matches: [('hammer_handle', 'wood_long_endPoint'), ('hammer_head', 'pliers')], Total Error: 1.7103, Shape Error: 0.3989, Size Error: 0.6510, Ratio Error: 1.3206
Matches: [('hammer_handle', 'wood_long_endPoint'), ('hammer_head', 'wood_foam')], Total Error: 1.7122, Shape Error: 0.9388, Size Error: 0.4762, Ratio Error: 0.5944
Matches: [('hammer_handle', 'wood_long_endPoint'), ('hammer_head', 'wood_foam')], Total Error: 1.7122, Shape Error: 0.9388, Size Error: 0.4762, Ratio Error: 0.5944
