Generating the reference point cloud
Model name: spatula_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'spatula_handle', 'spatula_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spatula_handle', 'wood_block_stack'), ('spatula_head', 'circle_spam')], Total Error: 4.0904, Shape Error: 2.4596, Size Error: 0.6089, Ratio Error: 2.0438
Matches: [('spatula_handle', 'wood_block_stack'), ('spatula_head', 'disc_small')], Total Error: 4.1075, Shape Error: 2.3098, Size Error: 0.6390, Ratio Error: 2.3174
Matches: [('spatula_handle', 'wood_block_stack'), ('spatula_head', 'disc_small')], Total Error: 4.1075, Shape Error: 2.3098, Size Error: 0.6390, Ratio Error: 2.3174
Matches: [('spatula_handle', 'steel_bowl_small'), ('spatula_head', 'circle_spam')], Total Error: 4.1268, Shape Error: 2.1798, Size Error: 0.8074, Ratio Error: 2.2793
Matches: [('spatula_handle', 'steel_bowl_small'), ('spatula_head', 'disc_small')], Total Error: 4.1439, Shape Error: 2.0300, Size Error: 0.8375, Ratio Error: 2.5529
Matches: [('spatula_handle', 'steel_bowl_small'), ('spatula_head', 'disc_small')], Total Error: 4.1439, Shape Error: 2.0300, Size Error: 0.8375, Ratio Error: 2.5529
Matches: [('spatula_handle', 'pizza'), ('spatula_head', 'circle_spam')], Total Error: 4.1496, Shape Error: 2.2292, Size Error: 0.7960, Ratio Error: 2.2489
Matches: [('spatula_handle', 'pizza'), ('spatula_head', 'disc_small')], Total Error: 4.1667, Shape Error: 2.0794, Size Error: 0.8261, Ratio Error: 2.5225
Matches: [('spatula_handle', 'pizza'), ('spatula_head', 'disc_small')], Total Error: 4.1667, Shape Error: 2.0794, Size Error: 0.8261, Ratio Error: 2.5225
Matches: [('spatula_handle', 'red_foam'), ('spatula_head', 'plastic_green_square')], Total Error: 4.2011, Shape Error: 0.8616, Size Error: 1.2363, Ratio Error: 4.2065
