Generating the reference point cloud
Model name: screwdriver_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'screwdriver_body', 'screwdriver_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('screwdriver_body', 'wood_foam'), ('screwdriver_head', 'tongs')], Total Error: 1.6111, Shape Error: 0.5350, Size Error: 0.6529, Ratio Error: 0.8464
Matches: [('screwdriver_body', 'wood_foam'), ('screwdriver_head', 'tongs')], Total Error: 1.6111, Shape Error: 0.5350, Size Error: 0.6529, Ratio Error: 0.8464
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'foam_roll')], Total Error: 1.6149, Shape Error: 0.4400, Size Error: 0.5435, Ratio Error: 1.2629
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'fries')], Total Error: 1.6175, Shape Error: 0.6400, Size Error: 0.6123, Ratio Error: 0.7303
Matches: [('screwdriver_body', 'foam_roll'), ('screwdriver_head', 'drill_bit')], Total Error: 1.6202, Shape Error: 0.5730, Size Error: 0.5431, Ratio Error: 1.0085
Matches: [('screwdriver_body', 'beans_tin'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.6267, Shape Error: 0.5679, Size Error: 0.6637, Ratio Error: 0.7902
Matches: [('screwdriver_body', 'beans_tin'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.6279, Shape Error: 0.3789, Size Error: 0.7348, Ratio Error: 1.0283
Matches: [('screwdriver_body', 'plastic_handle'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.6305, Shape Error: 0.5340, Size Error: 0.6683, Ratio Error: 0.8565
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.6314, Shape Error: 0.9866, Size Error: 0.3389, Ratio Error: 0.6117
Matches: [('screwdriver_body', 'hotdog'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.6362, Shape Error: 0.6307, Size Error: 0.6333, Ratio Error: 0.7444
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'red_cylinder_magnetic')], Total Error: 1.6419, Shape Error: 0.4744, Size Error: 0.6335, Ratio Error: 1.0681
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'plastic_claw')], Total Error: 1.6475, Shape Error: 0.0202, Size Error: 0.8889, Ratio Error: 1.4767
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'fries')], Total Error: 1.6549, Shape Error: 0.4060, Size Error: 0.7070, Ratio Error: 1.0837
Matches: [('screwdriver_body', 'plastic_handle'), ('screwdriver_head', 'drill_bit')], Total Error: 1.6550, Shape Error: 0.5340, Size Error: 0.6425, Ratio Error: 0.9570
Matches: [('screwdriver_body', 'wooden_screw'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.6598, Shape Error: 1.0201, Size Error: 0.3670, Ratio Error: 0.5454
Matches: [('screwdriver_body', 'hotdog'), ('screwdriver_head', 'drill_bit')], Total Error: 1.6607, Shape Error: 0.6307, Size Error: 0.6076, Ratio Error: 0.8449
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'foam_roll')], Total Error: 1.6610, Shape Error: 0.6380, Size Error: 0.5455, Ratio Error: 0.9549
Matches: [('screwdriver_body', 'screwdriver_small'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.6660, Shape Error: 0.9414, Size Error: 0.5472, Ratio Error: 0.3546
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'foam_roll')], Total Error: 1.6706, Shape Error: 0.4420, Size Error: 0.6063, Ratio Error: 1.2447
Matches: [('screwdriver_body', 'foam_roll'), ('screwdriver_head', 'tongs')], Total Error: 1.6803, Shape Error: 0.7204, Size Error: 0.5398, Ratio Error: 0.8402
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'fries')], Total Error: 1.6812, Shape Error: 0.7141, Size Error: 0.6164, Ratio Error: 0.7013
Matches: [('screwdriver_body', 'wood_long_endPoint'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.6813, Shape Error: 0.7687, Size Error: 0.5164, Ratio Error: 0.7924
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'red_cylinder_magnetic')], Total Error: 1.6880, Shape Error: 0.6724, Size Error: 0.6355, Ratio Error: 0.7601
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'plastic_claw')], Total Error: 1.6936, Shape Error: 0.2182, Size Error: 0.8910, Ratio Error: 1.1687
Matches: [('screwdriver_body', 'plastic_wahl_clippers'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.6940, Shape Error: 0.3131, Size Error: 0.8077, Ratio Error: 1.1466
Matches: [('screwdriver_body', 'fries'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.6958, Shape Error: 0.8021, Size Error: 0.4970, Ratio Error: 0.7933
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'red_cylinder_magnetic')], Total Error: 1.6976, Shape Error: 0.4764, Size Error: 0.6963, Ratio Error: 1.0499
Matches: [('screwdriver_body', 'steel_bowl_small'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.6978, Shape Error: 0.4599, Size Error: 0.6791, Ratio Error: 1.1175
Matches: [('screwdriver_body', 'plastic_clip'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.7006, Shape Error: 0.8572, Size Error: 0.4840, Ratio Error: 0.7188
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'plastic_claw')], Total Error: 1.7032, Shape Error: 0.0222, Size Error: 0.9517, Ratio Error: 1.4586
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'wood_short_midPoint')], Total Error: 1.7037, Shape Error: 0.9478, Size Error: 0.4114, Ratio Error: 0.6891
